bfs_nr_fiscal_power,community_name,value_fiscal_power,normalized_value_fiscal_power,bfs_nr_social_assistance,value_social_assistance,normalized_value_social_assistance,bfs_nr,number_of_foreigners,foreigners_percentage,normalized_number_of_foreigners,normalized_foreigners_percentage,number_of_inhabitants,area,inhabitants_per_km2,district,electoral_district,normalized_number_of_inhabitants,normalized_area,normalized_inhabitants_per_km2,rating,normalized_rating
3352,Ebnat-Kappel,1676,2.1,3352,2.1,12.25,3352,691,13.878288813,3,18,4979,4355.0,114,Obertoggenburg,Toggenburg,5,7.75,0.5,22.6,39
3251,Altstätten,2213,7.199999999999999,3251,1.1,6.5,3251,3739,30.4528424825,15,54,12278,3946.0,311,Oberrheintal,Rheintal,15,7.0,1.25,21.95,38
3274,Sennwald,2299,8.1,3274,0.9,5.25,3274,2124,34.8139649238,8,64,6101,4156.0,147,Werdenberg,Werdenberg,7,7.5,0.5,21.35,37
3395,Bütschwil-Ganterschwil,1828,3.5999999999999996,3395,2.2,12.75,3395,773,14.971915553,3,20,5163,2183.0,237,Alttoggenburg Untertoggenburg,Toggenburg,6,4.0,1.0,21.35,37
3341,Gommiswald,2513,10.2,3341,0.8,4.75,3341,778,13.9827462257,3,18,5564,3359.0,166,See,See-Gaster,6,6.0,0.75,21.7,37
3217,Steinach,2292,8.1,3217,1.6,9.25,3217,869,24.2534189227,3,41,3583,450.0,796,Rorschach,Rorschach,3,0.75,3.5,21.6,37
3237,Thal,2554,10.799999999999999,3237,0.9,5.25,3237,1641,23.7344518369,6,39,6914,966.0,716,Unterrheintal,Rorschach,8,1.75,3.25,21.049999999999997,36
3271,Buchs (SG),2205,7.199999999999999,3271,1.1,6.5,3271,5946,43.7045203969,24,83,13605,1595.0,853,Werdenberg,Werdenberg,17,2.75,3.75,20.2,34
3339,Uznach,1978,5.1,3339,1.7,10.0,3339,2039,29.7664233577,8,53,6850,754.0,908,See,See-Gaster,8,1.25,4.0,20.35,34
3218,Tübach,2958,14.7,3218,0.2,1.25,3218,206,12.9804662886,1,16,1587,199.0,797,Rorschach,Rorschach,1,0.25,3.5,19.7,33
3298,Walenstadt,2188,6.8999999999999995,3298,0.7,4.0,3298,1057,18.3411417664,4,28,5763,4572.0,126,Sargans,Sarganserland,6,8.25,0.5,19.65,33
3295,Quarten,2172,6.8999999999999995,3295,0.3,1.75,3295,565,18.8333333333,2,29,3000,6177.0,49,Sargans,Sarganserland,3,11.0,0.25,19.9,33
3276,Wartau,1742,2.6999999999999997,3276,1.6,9.25,3276,1752,32.4745134384,7,59,5395,4175.0,129,Werdenberg,Werdenberg,6,7.5,0.5,19.95,33
3234,Diepoldsau,2484,9.9,3234,0.8,4.75,3234,1778,25.8092611409,7,44,6889,1125.0,612,Unterrheintal,Rheintal,8,2.0,2.75,19.4,32
3407,Oberuzwil,2151,6.6,3407,1.4,8.25,3407,1385,21.1903304774,5,34,6536,1408.0,464,Untertoggenburg,Wil,7,2.5,2.0,19.35,32
3236,St. Margrethen,1846,3.5999999999999996,3236,1.8,10.5,3236,3202,51.2401984317,13,100,6249,687.0,910,Unterrheintal,Rheintal,7,1.25,4.0,19.35,32
3444,Waldkirch,1994,5.1,3444,1.2,7.0,3444,287,8.1349206349,1,5,3528,3134.0,113,Gossau,St. Gallen,3,5.5,0.5,18.1,29
3401,Degersheim,1626,1.5,3401,2.1,12.25,3401,702,17.2016662583,3,25,4081,1448.0,282,Untertoggenburg,Wil,4,2.5,1.25,17.5,28
3296,Sargans,2043,5.7,3296,0.9,5.25,3296,1880,29.1789539035,7,51,6443,946.0,681,Sargans,Sarganserland,7,1.75,3.0,15.7,24
3441,Andwil (SG),2339,8.4,3441,0.8,4.75,3441,141,6.6666666667,0,2,2115,631.0,335,Gossau,St. Gallen,2,1.0,1.5,15.65,24
3254,Oberriet (SG),2071,6.0,3254,0.3,1.75,3254,1722,18.7581699346,7,29,9180,3460.0,265,Oberrheintal,Rheintal,11,6.25,1.25,15.25,23
3394,Mosnang,1614,1.5,3394,0.7,4.0,3394,169,5.7876712329,0,0,2920,5051.0,58,Alttoggenburg,Toggenburg,3,9.0,0.25,14.75,22
3374,Lichtensteig,1913,4.2,3374,1.2,7.0,3374,402,20.303030303,1,32,1980,282.0,702,Neutoggenburg,Toggenburg,1,0.5,3.25,14.95,22
3422,Niederbüren,2039,5.7,3422,0.9,5.25,3422,140,9.1683038638,0,7,1527,1584.0,96,Wil,Wil,1,2.75,0.5,14.2,21
